Distancia,eD,Campo,eC
60.00,0.500000,"31,950.000000",612.000000
55.00,0.500000,"27,249.000000",568.000000
50.00,0.500000,"23,331.000000",527.000000
45.00,0.500000,"25,858.000000",584.000000
40.00,0.500000,"27,714.000000",478.000000
35.00,0.500000,"29,595.000000",614.000000
30.00,0.500000,"33,330.000000",532.000000
25.00,0.500000,"38,576.000000",531.000000
20.00,0.500000,"53,701.000000",500.000000
17.50,0.500000,"68,661.000000",738.000000
15.00,0.500000,"99,876.000000",633.000000
12.50,0.500000,"146,478.000000",670.000000
10.00,0.500000,"260,981.000000","1,032.000000"
7.50,0.500000,"576,665.000000","1,744.000000"
