freq,ch1,ch2,tran,errtrans,fase 
1.500000000000000000e+01,1.020000076290000024e+01,1.120000004800000060e+00,9.107143499272956078e+00,1.254211765135412771e+00,1.200000047699999906e+00
1.646248148239584808e+01,1.000000000000000000e+01,1.120000004800000060e+00,8.928571390306121458e+00,1.230992389003458420e+00,1.120000004800000060e+00
1.806755310388173896e+01,1.000000000000000000e+01,1.120000004800000060e+00,8.928571390306121458e+00,1.230992389003458420e+00,1.120000004800000060e+00
1.982911722699043722e+01,1.000000000000000000e+01,1.120000004800000060e+00,8.928571390306121458e+00,1.230992389003458420e+00,1.120000004800000060e+00
2.176243167743909623e+01,1.000000000000000000e+01,1.120000004800000060e+00,8.928571390306121458e+00,1.230992389003458420e+00,1.120000004800000060e+00
2.388424190011638970e+01,1.000000000000000000e+01,1.200000047699999906e+00,8.333333002083346486e+00,1.110021720718685545e+00,1.200000047699999906e+00
2.621292600011526375e+01,1.000000000000000000e+01,1.200000047699999906e+00,8.333333002083346486e+00,1.110021720718685545e+00,1.200000047699999906e+00
2.876865392508733876e+01,1.000000000000000000e+01,1.200000047699999906e+00,8.333333002083346486e+00,1.110021720718685545e+00,1.200000047699999906e+00
3.157356216768031842e+01,1.000000000000000000e+01,1.120000004800000060e+00,8.928571390306121458e+00,1.230992389003458420e+00,1.120000004800000060e+00
3.465194550124741113e+01,1.000000000000000000e+01,1.120000004800000060e+00,8.928571390306121458e+00,1.230992389003458420e+00,1.120000004800000060e+00
3.803046740955168303e+01,1.000000000000000000e+01,1.120000004800000060e+00,8.928571390306121458e+00,1.230992389003458420e+00,1.120000004800000060e+00
4.173839103310687904e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.279999971400000103e+00
4.580783263250124548e+01,1.000000000000000000e+01,1.200000047699999906e+00,8.333333002083346486e+00,1.110021720718685545e+00,1.200000047699999906e+00
5.027403976408265152e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.200000047699999906e+00
5.517569657742952671e+01,1.000000000000000000e+01,1.200000047699999906e+00,8.333333002083346486e+00,1.110021720718685545e+00,1.279999971400000103e+00
6.055525887894832238e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.279999971400000103e+00
6.645932186375824813e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.279999971400000103e+00
7.293902370098031440e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.279999971400000103e+00
8.005048846809467022e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.279999971400000103e+00
8.785531227085003536e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.279999971400000103e+00
9.642109675926485579e+01,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.279999971400000103e+00
1.058220346607797069e+02,1.000000000000000000e+01,1.279999971400000103e+00,7.812500174560550015e+00,1.008731650882018771e+00,1.359999895100000078e+00
