distancia,error distancia,campo (mT),std (mT)
60.00,0.500000,0.034977,0.000708
55.00,0.500000,0.031132,0.000600
50.00,0.500000,0.025853,0.000429
45.00,0.500000,0.027438,0.001453
40.00,0.500000,0.030995,0.000930
35.00,0.500000,0.030706,0.000474
30.00,0.500000,0.029448,0.000547
25.00,0.500000,0.027612,0.000613
20.00,0.500000,0.023987,0.000521
15.00,0.500000,0.017361,0.000481
12.50,0.500000,0.011668,0.000404
10.00,0.500000,0.002290,0.000410
7.50,0.500000,-0.010772,0.000558
5.00,0.500000,-0.040289,0.000424
